x,y,ax,ay,az,gx,gy,gz,mx,my,mz
272.0,7090.0,-0.03,0.02,0.98,0.67,-0.06,-1.65,0.0,0.0,0.0
273.0,6995.0,-0.03,0.02,0.98,0.73,0.06,-1.71,0.0,0.0,0.0
266.0,7038.0,-0.03,0.02,0.98,0.79,0.0,-1.71,0.0,0.0,0.0
273.0,7016.0,-0.03,0.02,0.98,0.67,0.12,-1.71,0.0,0.0,0.0
285.0,7026.0,-0.03,0.02,0.98,0.73,-0.06,-1.65,0.0,0.0,0.0
284.0,7007.0,-0.03,0.02,0.98,0.73,0.06,-1.65,0.0,0.0,0.0
281.0,6982.0,-0.03,0.02,0.98,0.73,0.06,-1.71,0.0,0.0,0.0
286.0,6962.0,-0.03,0.02,0.98,0.73,0.12,-1.65,0.0,0.0,0.0
254.0,7062.0,-0.03,0.02,0.98,0.79,0.06,-1.65,0.0,0.0,0.0
254.0,7062.0,-0.03,0.02,0.98,0.67,0.12,-1.71,0.0,0.0,0.0
275.0,7072.0,-0.03,0.02,0.98,0.73,0.0,-1.59,0.0,0.0,0.0
238.0,7111.0,-0.03,0.02,0.98,0.67,0.06,-1.71,0.0,0.0,0.0
186.0,7222.0,-0.03,0.02,0.98,0.73,0.0,-1.71,0.0,0.0,0.0
207.0,7212.0,-0.03,0.02,0.98,0.67,0.06,-1.65,0.0,0.0,0.0
213.0,7194.0,-0.03,0.02,0.98,0.79,0.12,-1.71,0.0,0.0,0.0
254.0,7141.0,-0.03,0.02,0.98,0.67,0.0,-1.71,0.0,0.0,0.0
248.0,7172.0,-0.03,0.02,0.99,0.67,0.0,-1.65,0.0,0.0,0.0
254.0,7131.0,-0.03,0.02,0.98,0.79,0.0,-1.71,0.0,0.0,0.0
195.0,7242.0,-0.03,0.02,0.98,0.67,0.06,-1.65,0.0,0.0,0.0
201.0,7158.0,-0.03,0.02,0.98,0.73,0.06,-1.65,0.0,0.0,0.0
238.0,7136.0,-0.03,0.02,0.98,0.79,0.06,-1.71,0.0,0.0,0.0
265.0,7107.0,-0.03,0.02,0.98,0.73,0.06,-1.71,0.0,0.0,0.0
262.0,7184.0,-0.03,0.02,0.98,0.79,0.06,-1.71,0.0,0.0,0.0
222.0,7190.0,-0.03,0.02,0.98,0.79,0.0,-1.65,0.0,0.0,0.0
235.0,7123.0,-0.03,0.02,0.98,0.67,0.18,-1.65,0.0,0.0,0.0
225.0,7149.0,-0.03,0.02,0.98,0.79,0.06,-1.65,0.0,0.0,0.0
217.0,7182.0,-0.03,0.02,0.98,0.67,0.06,-1.77,0.0,0.0,0.0
229.0,7177.0,-0.03,0.02,0.98,0.61,0.06,-1.71,0.0,0.0,0.0
244.0,7132.0,-0.03,0.02,0.98,0.73,0.12,-1.65,0.0,0.0,0.0
242.0,7140.0,-0.03,0.02,0.98,0.73,0.0,-1.65,0.0,0.0,0.0
242.0,7140.0,-0.03,0.02,0.98,0.79,0.0,-1.65,0.0,0.0,0.0
253.0,7095.0,-0.03,0.02,0.98,0.67,-0.06,-1.65,0.0,0.0,0.0
248.0,7098.0,-0.03,0.02,0.98,0.67,-0.06,-1.65,0.0,0.0,0.0
261.0,7079.0,-0.03,0.02,0.98,0.79,0.0,-1.71,0.0,0.0,0.0
279.0,7071.0,-0.03,0.02,0.98,0.79,0.0,-1.65,0.0,0.0,0.0
285.0,7040.0,-0.03,0.02,0.98,0.67,0.0,-1.65,0.0,0.0,0.0
275.0,7036.0,-0.03,0.02,0.98,0.73,0.0,-1.65,0.0,0.0,0.0
277.0,7000.0,-0.03,0.02,0.98,0.73,0.0,-1.65,0.0,0.0,0.0
284.0,7002.0,-0.03,0.02,0.98,0.85,0.12,-1.65,0.0,0.0,0.0
285.0,7008.0,-0.03,0.02,0.98,0.79,0.06,-1.65,0.0,0.0,0.0
293.0,6986.0,-0.03,0.02,0.98,0.67,0.06,-1.71,0.0,0.0,0.0
293.0,6986.0,-0.03,0.02,0.98,0.73,0.0,-1.65,0.0,0.0,0.0
284.0,6985.0,-0.03,0.02,0.98,0.73,0.12,-1.65,0.0,0.0,0.0
250.0,7040.0,-0.03,0.02,0.98,0.79,0.12,-1.59,0.0,0.0,0.0
267.0,7021.0,-0.01,0.01,0.98,0.73,1.53,-1.46,0.0,0.0,0.0
237.0,7078.0,-0.02,0.02,0.98,0.85,0.12,-1.65,0.0,0.0,0.0
239.0,7069.0,-0.03,0.02,0.98,0.67,-0.67,-1.71,0.0,0.0,0.0
254.0,7039.0,-0.03,0.02,0.98,0.85,-0.12,-1.65,0.0,0.0,0.0
251.0,7011.0,-0.03,0.02,0.98,0.73,0.06,-1.65,0.0,0.0,0.0
274.0,6975.0,-0.03,0.02,0.98,0.73,0.0,-1.71,0.0,0.0,0.0
277.0,6970.0,-0.03,0.02,0.98,0.73,0.0,-1.77,0.0,0.0,0.0
286.0,6969.0,-0.03,0.02,0.98,0.73,0.0,-1.71,0.0,0.0,0.0
267.0,6971.0,-0.03,0.02,0.98,0.67,0.0,-1.71,0.0,0.0,0.0
268.0,6957.0,-0.03,0.02,0.98,0.67,0.06,-1.65,0.0,0.0,0.0
277.0,6969.0,-0.03,0.02,0.98,0.73,0.0,-1.65,0.0,0.0,0.0
277.0,7014.0,-0.03,0.02,0.98,0.73,0.06,-1.71,0.0,0.0,0.0
261.0,6998.0,-0.03,0.02,0.98,0.73,0.0,-1.65,0.0,0.0,0.0
273.0,6991.0,-0.03,0.02,0.98,0.73,0.18,-1.59,0.0,0.0,0.0
263.0,7020.0,-0.03,0.02,0.98,0.73,0.12,-1.71,0.0,0.0,0.0
249.0,7020.0,-0.03,0.02,0.98,0.73,0.18,-1.71,0.0,0.0,0.0
256.0,7019.0,-0.03,0.02,0.98,0.67,0.0,-1.77,0.0,0.0,0.0
269.0,7012.0,-0.03,0.02,0.98,0.67,-0.06,-1.65,0.0,0.0,0.0
266.0,7021.0,-0.03,0.02,0.98,0.67,0.0,-1.71,0.0,0.0,0.0
268.0,7024.0,-0.03,0.02,0.98,0.73,0.06,-1.71,0.0,0.0,0.0
263.0,6998.0,-0.03,0.02,0.98,0.61,0.12,-1.71,0.0,0.0,0.0
278.0,7011.0,-0.03,0.02,0.98,0.73,-0.06,-1.71,0.0,0.0,0.0
274.0,7000.0,-0.03,0.02,0.98,0.73,0.0,-1.65,0.0,0.0,0.0
277.0,6950.0,-0.03,0.02,0.98,0.79,-0.06,-1.65,0.0,0.0,0.0
263.0,6940.0,-0.03,0.02,0.98,0.67,0.0,-1.71,0.0,0.0,0.0
272.0,6946.0,-0.03,0.02,0.98,0.79,-0.06,-1.71,0.0,0.0,0.0
273.0,6906.0,-0.03,0.02,0.98,0.79,0.06,-1.65,0.0,0.0,0.0
260.0,6959.0,-0.03,0.02,0.98,0.79,-0.06,-1.59,0.0,0.0,0.0
256.0,6970.0,-0.03,0.02,0.98,0.73,0.12,-1.71,0.0,0.0,0.0
245.0,7047.0,-0.03,0.02,0.99,0.61,0.12,-1.65,0.0,0.0,0.0
251.0,7030.0,-0.03,0.02,0.99,0.98,-0.18,-1.59,0.0,0.0,0.0
267.0,7023.0,-0.03,0.02,0.99,0.61,0.06,-1.65,0.0,0.0,0.0
275.0,7038.0,-0.03,0.02,0.98,0.67,0.0,-1.65,0.0,0.0,0.0
235.0,7111.0,-0.03,0.02,0.98,0.73,0.06,-1.65,0.0,0.0,0.0
249.0,7092.0,-0.03,0.02,0.98,0.79,0.12,-1.71,0.0,0.0,0.0
253.0,7042.0,-0.03,0.02,0.98,0.73,0.18,-1.71,0.0,0.0,0.0
274.0,7049.0,-0.03,0.02,0.98,0.67,0.12,-1.71,0.0,0.0,0.0
260.0,7083.0,-0.03,0.02,0.98,0.61,0.06,-1.77,0.0,0.0,0.0
262.0,7046.0,-0.03,0.02,0.98,0.85,0.12,-1.65,0.0,0.0,0.0
269.0,6993.0,-0.03,0.02,0.98,0.61,0.12,-1.65,0.0,0.0,0.0
273.0,7036.0,-0.03,0.02,0.98,0.73,-0.06,-1.59,0.0,0.0,0.0
276.0,7002.0,-0.03,0.02,0.98,0.79,0.12,-1.65,0.0,0.0,0.0
276.0,6952.0,-0.03,0.02,0.98,0.85,0.06,-1.65,0.0,0.0,0.0
283.0,6925.0,-0.03,0.02,0.98,0.73,0.12,-1.65,0.0,0.0,0.0
271.0,6888.0,-0.03,0.02,0.98,0.73,-0.06,-1.71,0.0,0.0,0.0
271.0,6954.0,-0.03,0.02,0.98,0.79,0.06,-1.71,0.0,0.0,0.0
256.0,7028.0,-0.03,0.02,0.98,0.73,0.0,-1.71,0.0,0.0,0.0
262.0,7027.0,-0.03,0.02,0.98,0.67,0.06,-1.71,0.0,0.0,0.0
267.0,7022.0,-0.03,0.02,0.99,0.67,0.49,-1.65,0.0,0.0,0.0
268.0,7028.0,-0.03,0.02,0.99,0.79,0.12,-1.71,0.0,0.0,0.0
280.0,7008.0,-0.03,0.02,0.98,0.73,0.06,-1.59,0.0,0.0,0.0
284.0,7008.0,-0.03,0.02,0.98,0.73,-0.06,-1.71,0.0,0.0,0.0
290.0,6992.0,-0.03,0.02,0.98,0.73,0.0,-1.65,0.0,0.0,0.0
293.0,7007.0,-0.03,0.02,0.98,0.73,0.0,-1.77,0.0,0.0,0.0
287.0,6997.0,-0.03,0.02,0.98,0.67,0.0,-1.59,0.0,0.0,0.0
307.0,7042.0,-0.03,0.02,0.98,0.73,0.06,-1.65,0.0,0.0,0.0
