0.598,2.718,-0.603,0.697,2.728,-0.281
0.584,2.685,-0.527,0.695,2.737,-0.349
0.582,2.686,-0.597,0.48,2.621,-0.53
0.751,2.775,-0.173,0.541,2.645,-0.394
0.78,2.834,-0.306,0.566,2.626,-0.454
0.666,2.74,-0.563,0.601,2.675,-0.248
0.624,2.732,-0.499,0.531,2.664,-0.419
0.625,2.72,-0.227,0.61,2.748,-0.263
0.698,2.794,-0.278,1.344,3.189,0.357
0.865,2.957,0.001,1.466,3.269,0.461
0.865,2.957,0.001,1.466,3.269,0.461
0.865,2.957,0.001,1.466,3.269,0.461
0.865,2.957,0.001,1.466,3.269,0.461
0.865,2.957,0.001,1.466,3.269,0.461
0.865,2.957,0.001,1.466,3.269,0.461
0.865,2.957,0.001,1.466,3.269,0.461
0.865,2.957,0.001,1.466,3.269,0.461
0.865,2.957,0.001,1.466,3.269,0.461
0.865,2.957,0.001,1.466,3.269,0.461
0.865,2.957,0.001,1.466,3.269,0.461
0.865,2.957,0.001,1.466,3.269,0.461
0.865,2.957,0.001,1.466,3.269,0.461
0.865,2.957,0.001,1.466,3.269,0.461
0.865,2.957,0.001,1.466,3.269,0.461
0.865,2.957,0.001,1.466,3.269,0.461
0.865,2.957,0.001,1.466,3.269,0.461
0.865,2.957,0.001,1.466,3.269,0.461
0.865,2.957,0.001,1.466,3.269,0.461
0.865,2.957,0.001,1.466,3.269,0.461
0.865,2.957,0.001,1.466,3.269,0.461
0.865,2.957,0.001,1.505,2.909,0.482
0.865,2.957,0.001,1.505,2.909,0.482
1.138,2.741,-0.025,1.619,2.565,-0.036
1.644,2.673,0.14,1.773,2.513,0.372
1.951,2.75,-0.166,2.206,2.72,0.189
2.107,2.772,0.118,2.424,2.685,0.462
1.954,2.879,0.049,2.52,2.637,0.494
1.671,3.058,-0.17,2.102,2.869,0.097
1.578,3.122,-0.223,1.802,3.029,-0.011
1.578,3.122,-0.223,1.802,3.029,-0.011
1.578,3.122,-0.223,1.802,3.029,-0.011
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.578,3.122,-0.223,2.147,3.119,0.151
1.709,2.331,0.181,2.147,3.119,0.151
1.737,2.154,0.369,1.855,2.551,0.147
1.72,2.148,0.397,1.772,2.375,0.061
1.697,2.021,0.448,1.703,2.247,0.198
1.629,2.014,0.467,1.686,2.156,0.025
1.45,2.177,0.194,1.544,2.078,0.076
1.363,2.197,-0.163,1.436,2.075,0.287
1.187,2.237,-0.259,1.022,2.119,-0.233
0.836,2.319,-0.283,0.104,2.41,0.158
0.863,2.359,-0.428,0.413,2.363,-0.182
0.813,2.44,-0.552,0.252,2.495,-0.166
0.342,2.714,-0.304,0.126,2.583,0.07
0.295,2.733,-0.484,0.193,2.645,0.324
0.138,2.594,-0.245,0.127,2.561,0.292
0.413,2.718,-0.075,0.248,2.628,0.16
0.396,2.737,-0.117,0.198,2.624,-0.069
0.57,2.939,0.37,0.576,2.867,0.22
0.661,2.998,0.352,0.723,2.95,0.254
0.842,3.097,0.435,0.854,3.039,0.451
0.949,3.159,0.437,0.921,3.087,0.499
1.19,3.283,0.538,1.04,3.149,0.501
1.292,3.324,0.515,1.133,3.206,0.486
1.437,3.423,0.539,1.223,3.252,0.333
1.459,3.438,0.529,1.317,3.317,0.447
1.507,3.48,0.536,1.487,3.435,0.366
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.562,3.049,0.896
1.59,3.012,1.079,1.215,2.761,0.477
1.287,2.666,0.285,1.196,2.642,0.085
1.181,2.567,-0.074,1.552,2.64,-0.391
1.124,2.56,0.067,1.443,2.632,-0.431
1.163,2.587,0.328,1.635,2.756,-0.195
1.262,2.624,0.488,1.716,2.781,-0.167
1.521,2.709,0.304,1.811,2.797,-0.266
1.584,2.728,0.141,1.799,2.75,-0.195
1.727,2.843,-0.216,1.714,2.767,-0.158
1.732,2.834,-0.122,1.68,2.778,-0.133
1.741,2.823,-0.046,1.81,2.785,-0.101
1.719,2.786,0.064,1.835,2.78,-0.024
1.737,2.83,-0.12,1.877,2.777,0.048
1.702,2.847,-0.307,1.887,2.761,0.18
1.761,2.817,-0.183,1.897,2.766,0.131
1.912,2.735,0.151,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.016,2.685,0.263,1.808,2.834,-0.133
2.62,3.255,0.631,1.808,2.834,-0.133
2.62,3.255,0.631,1.808,2.834,-0.133
2.62,3.255,0.631,1.808,2.834,-0.133
2.62,3.255,0.631,1.808,2.834,-0.133
2.62,3.255,0.631,1.808,2.834,-0.133
2.62,3.255,0.631,1.808,2.834,-0.133
2.62,3.255,0.631,1.808,2.834,-0.133
2.62,3.255,0.631,1.808,2.834,-0.133
2.62,3.255,0.631,1.808,2.834,-0.133
2.62,3.255,0.631,1.808,2.834,-0.133
2.62,3.255,0.631,1.808,2.834,-0.133
2.62,3.255,0.631,1.808,2.834,-0.133
2.62,3.255,0.631,1.808,2.834,-0.133
2.62,3.255,0.631,1.808,2.834,-0.133
2.62,3.255,0.631,1.808,2.834,-0.133
2.62,3.255,0.631,1.808,2.834,-0.133
2.62,3.255,0.631,1.808,2.834,-0.133
2.62,3.255,0.631,1.808,2.834,-0.133
2.62,3.255,0.631,1.808,2.834,-0.133
2.62,3.255,0.631,1.808,2.834,-0.133
2.62,3.255,0.631,1.808,2.834,-0.133
2.62,3.255,0.631,1.808,2.834,-0.133
2.62,3.255,0.631,1.808,2.834,-0.133
2.62,3.255,0.631,1.808,2.834,-0.133
